Title,primefeatures,Price
Mahindra Jeep Classic - 2022,15 kms / Diesel,"₹4,31,000 "
Maruti Suzuki Swift VXi 1.2 ABS BS IV - 2017,"38,000 kms / Petrol","₹5,55,000 "
Maruti Suzuki Gypsy King Soft Top - 2022,16 kms / Petrol,"₹5,93,000 "
Mahindra Jeep Classic - 2022,15 kms / Diesel,"₹3,99,000 "
Mahindra Jeep Classic - 2022,15 kms / Diesel,"₹4,39,000 "
Maruti Suzuki Gypsy King Soft Top - 2022,16 kms / Petrol,"₹5,68,000 "
Mahindra Jeep Classic - 2022,19 kms / Diesel,"₹4,37,000 "
Honda City SV MT PETROL - 2014,"85,000 kms / Petrol","₹3,95,000 "
Hyundai Creta 1.6 SX PLUS DIESEL - 2015,"1,25,000 kms / Diesel","₹9,00,000 "
Honda Accord 2.4 Inspire MT - 2012,"68,000 kms / Petrol","₹5,19,999 "
Fiat Grande Punto 1.3 Emotion Pack 90HP Diesel - 2015,"47,999 kms / Diesel","₹4,75,000 "
Fiat Linea Emotion Pack Diesel - 2011,"99,000 kms / Diesel","₹2,44,000 "
Mercedes Benz C Class 200 Kompressor Elegance MT - 2003,"81,769 kms / Petrol","₹2,44,000 "
Renault Duster 110 PS RxZ Diesel Plus - 2013,"99,436 kms / Diesel","₹4,49,000 "
Tata Zest XMS Petrol - 2014,"77,519 kms / Petrol","₹3,66,000 "
Mercedes Benz M Class ML 350 CDI - 2010,"99,000 kms / Diesel","₹12,55,000 "
Fiat Punto Evo Dynamic 1.2 - 2012,"88,599 kms / Petrol","₹2,42,000 "
Skoda Laura Ambiente 1.8 TSI - 2011,"81,493 kms / Petrol","₹2,44,000 "
Hyundai Sonata Transform 2.4 GDi AT - 2010,"75,139 kms","₹3,33,000 "
Toyota Corolla Altis Aero Ltd Petrol - 2010,"87,539 kms / Petrol","₹3,33,000 "
Hyundai i10 Magna 1.2 Kappa2 - 2012,"77,533 kms / Petrol","₹2,88,000 "
Tata Safari 4x2 EX DICOR BS IV - 2012,"89,632 kms / Diesel","₹3,49,000 "
Mitsubishi Pajero 2.8 SFX Dual Tone - 2008,"99,000 kms / Diesel","₹5,80,000 "
Toyota Etios Xclusive Petrol - 2011,"99,000 kms / Petrol","₹3,22,000 "
Mahindra Jeep Classic - 2022,12 kms / Diesel,"₹3,95,000 "
Mahindra Quanto C8 - 2015,"85,000 kms / Diesel","₹4,11,000 "
Mahindra Quanto C8 - 2013,"8,50,003 kms / Diesel","₹3,11,000 "
Mahindra Jeep CL550 MDI - 2019,366 kms / Diesel,"₹4,80,000 "
Mahindra Jeep CL550 MDI - 2019,255 kms / Diesel,"₹4,80,000 "
Mahindra Jeep CL 500 MDI - 2020,288 kms / Diesel,"₹4,50,000 "
Mahindra Jeep Classic - 2022,18 kms / Diesel,"₹4,37,000 "
Mahindra Jeep Classic - 2022,28 kms / Diesel,"₹4,51,000 "
