Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2020 KIA SELTOS,GTX + AT PETROL Automatic,Automatic,"8,241 km",1st Owner,Petrol,"?18,95,199",,,,,,
2020 Maruti Swift,LXI Manual,Manual,"10,568 km",1st Owner,Petrol,"?5,92,499",,,,,,
2019 Maruti Swift,LXI Manual,Manual,"27,659 km",1st Owner,Petrol,"?5,33,399",,,,,,
2020 KIA SELTOS,HTX 1.5 PETROL MT Manual,Manual,"32,799 km",1st Owner,Petrol,"?13,83,099",,,,,,
2014 Mercedes Benz C Class,C 200 AVANTGARDE Automatic,Automatic,"37,531 km",1st Owner,Petrol,"?20,33,499",,,,,,
2021 Renault Kiger,RXZ 1.0 MT DUAL TONE ,,"14,474 km",2nd Owner,Petrol,"?8,23,199",,,,,,
2013 Hyundai i10,ERA 1.1 IRDE Manual,Manual,"37,928 km",1st Owner,Petrol,"?2,71,699",,,,,,
2014 Honda City,VX MT PETROL Manual,Manual,"61,168 km",2nd Owner,Petrol,"?6,58,499",,,,,,
2022 MG ASTOR,SHARP (O) 1.5 CVT IVORY AUTOMATIC,AUTOMATIC,"2,091 km",1st Owner,Petrol,"?17,67,999",,,,,,
2019 KIA SELTOS,HTK PLUS 1.5 DIESEL Manual,Manual,"25,067 km",1st Owner,Diesel,"?13,07,499",,,,,,
2021 Renault Kwid,1.0 RXT Opt Manual,Manual,368 km,1st Owner,Petrol,"?5,05,099",,,,,,
2020 Hyundai NEW SANTRO,1.1 ERA EXICUTIVE Manual,Manual,"3,812 km",2nd Owner,Petrol,"?4,71,599",,,,,,
2021 Tata ALTROZ,XM+ 1.2 RTN ,,"7,416 km",1st Owner,Petrol,"?7,20,176",,,,,,
2021 Maruti Swift,LXI Manual,Manual,"5,078 km",1st Owner,Petrol,"?6,11,299",,,,,,
2013 Jaguar XF,2.2 DIESEL Automatic,Automatic,"28,909 km",2nd Owner,Diesel,"?15,49,999",,,,,,
2019 KIA SELTOS,GTX + AT PETROL Automatic,Automatic,"37,357 km",1st Owner,Petrol,"?16,59,099",,,,,,
2018 Maruti Dzire,LXI Manual,Manual,"25,788 km",1st Owner,Petrol,"?5,42,299",,,,,,
2017 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"17,511 km",1st Owner,Petrol,"?7,79,899",,,,,,
2021 Tata ALTROZ,XE 1.2 Manual,Manual,"7,472 km",1st Owner,Petrol,"?6,41,999",,,,,,
2020 Maruti Baleno,SIGMA 1.2 K12 Manual,Manual,"8,966 km",1st Owner,Petrol,"?6,03,599",,,,,,
2022 Nissan MAGNITE,XL Turbo MT ,,"5,306 km",1st Owner,Petrol,"?8,43,099",,,,,,
2011 Hyundai i10,MAGNA 1.2 KAPPA2 Manual,Manual,"72,229 km",1st Owner,Petrol,"?2,82,899",,,,,,
2022 Tata ALTROZ,XZ 1.2 Manual,Manual,"1,086 km",1st Owner,Petrol,"?8,61,699",,,,,,
2014 Hyundai i10,MAGNA 1.1 IRDE2 Manual,Manual,"41,439 km",2nd Owner,Petrol,"?3,49,399",,,,,,
2021 Renault Kiger,RXT 1.0 AMT Automatic,Automatic,"5,972 km",1st Owner,Petrol,"?8,30,299",,,,,,
2009 Hyundai i10,ERA 1.1 IRDE Manual,Manual,"21,723 km",1st Owner,Petrol,"?2,10,249",,,,,,
2014 Maruti Alto 800,VXI Manual,Manual,"28,210 km",1st Owner,Petrol,"?2,70,299",,,,,,
2010 Maruti Alto,LXI Manual,Manual,"48,001 km",2nd Owner,Petrol,"?1,70,299",,,,,,
2020 MG HECTOR PLUS,SHARP DCT ,,"3,483 km",1st Owner,Petrol,"?18,90,299",,,,,,
2009 Hyundai i10,ERA 1.1 IRDE Manual,Manual,"44,327 km",1st Owner,Petrol,"?1,99,699",,,,,,
2019 Jeep Compass,1.4 SPORT PETROL Manual,Manual,"42,490 km",2nd Owner,Petrol,"?13,76,149",,,,,,
2020 Maruti Celerio,VXI Manual,Manual,"14,065 km",1st Owner,Petrol,"?4,77,299",,,,,,
2020 KIA SELTOS,HTK 1.5 PETROL Manual,Manual,"32,873 km",1st Owner,Petrol,"?11,89,899",,,,,,
2020 Hyundai Grand i10,MAGNA 1.2 VTVT Manual,Manual,"6,470 km",1st Owner,Petrol,"?6,08,399",,,,,,
2020 MG HECTOR PLUS,SHARP HYBRID PETROL Manual,Manual,"12,185 km",2nd Owner,Petrol,"?18,48,299",,,,,,
2021 Datsun Redi Go,T (O) Manual,Manual,"13,021 km",1st Owner,Petrol,"?4,63,499",,,,,,
2014 Nissan Micra,XE DIESEL Manual,Manual,"63,753 km",1st Owner,Diesel,"?2,75,299",,,,,,
2019 Jeep Compass,1.4  LONGITUDE (O) AT Automatic,Automatic,"23,327 km",1st Owner,Petrol,"?20,12,799",,,,,,
2019 Jeep Compass,2.0 LIMITED Manual,Manual,"46,860 km",1st Owner,Diesel,"?19,41,699",,,,,,
2021 Toyota URBAN CRUISER,HIGH AT ,,"6,724 km",1st Owner,Petrol,"?11,83,499",,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"16,157 km",1st Owner,Petrol,"?4,65,199",,,,,,
2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,Automatic,"33,499 km",1st Owner,Diesel,"?11,49,399",,,,,,
2012 Maruti Swift,ZXI Manual,Manual,"13,159 km",1st Owner,Petrol,"?4,12,099",,,,,,
2015 Hyundai Elite i20,SPORTZ 1.2 Manual,Manual,"25,414 km",1st Owner,Petrol,"?5,30,099",,,,,,
2017 Honda City,SV MT PETROL Manual,Manual,"58,689 km",1st Owner,Petrol,"?7,32,399",,,,,,
2012 Hyundai i10,SPORTZ 1.2 KAPPA2 Manual,Manual,"54,800 km",1st Owner,Petrol,"?2,57,999",,,,,,
2016 Nissan Micra,XV CVT Automatic,Automatic,"8,096 km",1st Owner,Petrol,"?4,76,399",,,,,,
2021 KIA SONET,GTX PLUS 1.5D  AT ,,"38,187 km",1st Owner,Diesel,"?13,89,299",,,,,,
2020 Renault Kwid,1.0 RXT Opt Manual,Manual,"10,572 km",2nd Owner,Petrol,"?4,52,199",,,,,,
2014 Maruti Celerio,VXI AMT Automatic,Automatic,"41,822 km",3rd Owner,Petrol,"?3,39,599",,,,,,
2020 KIA SONET,GTX + 1.0 IMT ,,"19,359 km",1st Owner,Petrol,"?13,14,099",,,,,,
2020 Hyundai Creta,1.5 SX (O) AT Automatic,Automatic,"16,315 km",1st Owner,Petrol,"?17,55,399",,,,,,
2021 Nissan MAGNITE,XV MT PETROL ,,"15,844 km",1st Owner,Petrol,"?7,07,999",,,,,,
2021 Nissan MAGNITE,XL Turbo MT ,,"13,713 km",1st Owner,Petrol,"?8,41,249",,,,,,
2014 Maruti Wagon R 1.0,LXI Manual,Manual,"59,277 km",1st Owner,Petrol,"?3,42,699",,,,,,
2019 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"9,378 km",1st Owner,Petrol,"?17,94,899",,,,,,
2020 Maruti IGNIS,SIGMA 1.2 K12 Manual,Manual,"15,199 km",1st Owner,Petrol,"?5,06,599",,,,,,
2020 KIA SELTOS,HTK PLUS AT 1.5 DIESEL Automatic,Automatic,"33,981 km",2nd Owner,Diesel,"?14,65,299",,,,,,
2015 Volkswagen Polo,GT TSI 1.2 PETROL AT Automatic,Automatic,"36,483 km",1st Owner,Petrol,"?6,08,199",,,,,,
2019 Maruti Swift,VXI Manual,Manual,"35,953 km",1st Owner,Petrol,"?6,03,299",,,,,,
2013 Hyundai Verna,FLUIDIC 1.6 SX VTVT OPT AT Automatic,Automatic,"60,368 km",2nd Owner,Petrol,"?5,23,299",,,,,,
2018 Maruti Alto K10,VXI Manual,Manual,"2,920 km",1st Owner,Petrol,"?4,08,999",,,,,,
2014 Honda City,V MT PETROL Manual,Manual,"83,263 km",1st Owner,Petrol,"?5,49,799",,,,,,
2021 Renault Kwid,1.0 RXT Opt Manual,Manual,"2,863 km",1st Owner,Petrol,"?4,73,299",,,,,,
2020 KIA SELTOS,HTX+ AT 1.5 DIESEL Automatic,Automatic,"32,605 km",2nd Owner,Diesel,"?15,39,699",,,,,,
2016 Hyundai Elite i20,MAGNA 1.2 Manual,Manual,"20,452 km",2nd Owner,Petrol,"?4,94,199",,,,,,
2019 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"21,043 km",1st Owner,Petrol,"?5,40,599",,,,,,
2011 Hyundai i10,MAGNA 1.1 IRDE2 Manual,Manual,"61,943 km",1st Owner,Petrol,"?2,59,399",,,,,,
2021 Maruti Vitara Brezza,VXI Manual,Manual,"9,236 km",1st Owner,Petrol,"?8,79,499",,,,,,
2013 BMW X3,XDRIVE 20D Automatic,Automatic,"71,180 km",2nd Owner,Diesel,"?11,26,499",,,,,,
2021 Renault Kiger,RXZ 1.0 TURBO MT ,,"7,733 km",1st Owner,Petrol,"?9,01,699",,,,,,
2021 Maruti Celerio,ZXI AMT Automatic,Automatic,"9,278 km",1st Owner,Petrol,"?6,07,599",,,,,,
2013 Hyundai i20,ERA 1.4 CRDI Manual,Manual,"30,354 km",1st Owner,Diesel,"?3,06,299",,,,,,
2016 Honda Jazz,1.2 S AT Automatic,Automatic,"48,225 km",2nd Owner,Petrol,"?5,26,999",,,,,,
2018 Volkswagen Polo,GT TSI 1.2 PETROL AT Automatic,Automatic,"96,751 km",1st Owner,Petrol,"?7,47,899",,,,,,
2013 Hyundai i20,MAGNA O 1.2 Manual,Manual,"59,194 km",2nd Owner,Petrol,"?3,42,799",,,,,,
2015 Honda Jazz,1.2 VX I-VTECH Manual,Manual,"28,170 km",1st Owner,Petrol,"?5,43,799",,,,,,
2019 Maruti Swift,VXI AMT Automatic,Automatic,"45,067 km",2nd Owner,Petrol,"?6,22,999",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"12,452 km",2nd Owner,Petrol,"?6,68,599",,,,,,
2021 Toyota URBAN CRUISER,PREMIUM MT ,,"18,042 km",2nd Owner,Petrol,"?10,29,499",,,,,,
2020 Honda City,VX MT PETROL Manual,Manual,"7,632 km",1st Owner,Petrol,"?12,97,699",,,,,,
