,Name,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Age
0,KIA SELTOS,GTX + AT PETROL,Automatic,8241,1st Owner,Petrol,1895199,2
1,Maruti Swift,LXI,Manual,10568,1st Owner,Petrol,592499,2
2,Maruti Swift,LXI,Manual,27659,1st Owner,Petrol,533399,3
3,KIA SELTOS,HTX 1.5 PETROL MT,Manual,32799,1st Owner,Petrol,1383099,2
4,Mercedes Benz,C 200 AVANTGARDE,Automatic,37531,1st Owner,Petrol,2033499,8
6,Hyundai i10,ERA 1.1 IRDE,Manual,37928,1st Owner,Petrol,271699,9
7,Honda City,VX MT PETROL,Manual,61168,2nd Owner,Petrol,658499,8
8,MG ASTOR,SHARP (O) 1.5 CVT IVORY,Automatic,2091,1st Owner,Petrol,1767999,0
9,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,25067,1st Owner,Diesel,1307499,3
10,Renault Kwid,1.0 RXT Opt,Manual,368,1st Owner,Petrol,505099,1
11,Hyundai NEW,1.1 ERA EXICUTIVE,Manual,3812,2nd Owner,Petrol,471599,2
13,Maruti Swift,LXI,Manual,5078,1st Owner,Petrol,611299,1
14,Jaguar XF,2.2 DIESEL,Automatic,28909,2nd Owner,Diesel,1549999,9
15,KIA SELTOS,GTX + AT PETROL,Automatic,37357,1st Owner,Petrol,1659099,3
16,Maruti Dzire,LXI,Manual,25788,1st Owner,Petrol,542299,4
17,Honda WR-V,1.2 i-VTEC VX MT,Manual,17511,1st Owner,Petrol,779899,5
18,Tata ALTROZ,XE 1.2,Manual,7472,1st Owner,Petrol,641999,1
19,Maruti Baleno,SIGMA 1.2 K12,Manual,8966,1st Owner,Petrol,603599,2
21,Hyundai i10,MAGNA 1.2 KAPPA2,Manual,72229,1st Owner,Petrol,282899,11
22,Tata ALTROZ,XZ 1.2,Manual,1086,1st Owner,Petrol,861699,0
23,Hyundai i10,MAGNA 1.1 IRDE2,Manual,41439,2nd Owner,Petrol,349399,8
24,Renault Kiger,RXT 1.0 AMT,Automatic,5972,1st Owner,Petrol,830299,1
25,Hyundai i10,ERA 1.1 IRDE,Manual,21723,1st Owner,Petrol,210249,13
26,Maruti Alto,VXI,Manual,28210,1st Owner,Petrol,270299,8
27,Maruti Alto,LXI,Manual,48001,2nd Owner,Petrol,170299,12
29,Hyundai i10,ERA 1.1 IRDE,Manual,44327,1st Owner,Petrol,199699,13
